"type"," activeFrom"," activeTo"," user"," description"," publicDescription","  lat"," lon"
"incident","2013-02-26 17:56:00.0","2013-02-26 17:59:00.0","erwin","involving both PUJ.  10 50- happened @ m. j. cuenco cor. lorega. no sketch made. skecth pick up by mobile c505","","10.30214694273929","123.90655517578124"
"incident","2013-02-27 18:09:00.0","2013-02-26 18:10:00.0","erwin","","","10.315172616304784","123.88552665710448"
"incident","2013-02-27 18:22:00.0","2013-02-25 18:23:00.0","erwin","","","10.315626499592435","123.88534426689148"
"incident","2013-02-26 18:23:00.0","2013-02-25 18:30:00.0","erwin","","","10.311077081700846","123.90385150909422"
"incident","2013-02-27 18:23:00.0","2013-02-26 18:24:00.0","erwin","","","10.310602080683607","123.89913082122803"
"incident","2013-02-28 18:43:00.0","2013-02-28 18:43:00.0","rafaelyap","testing the traffic alerts fxn","testing the alerts fxn","10.298135686854193","123.89333724975585"
"incident","2012-12-09 10:45:12.507","2012-12-09 10:45:12.507","kpw","Test incident
","","10.302083607516618","123.89350891113281"
"-","2012-12-09 10:45:19.804",,"kpw",,"More information..",
"incident","2012-12-09 17:30:46.588","2012-12-09 17:30:46.588","neil","Big crash at junction with Gorordp","","10.317790352780124","123.90157699584961"
"incident","2013-01-24 03:49:41.092","2013-01-24 03:49:41.092","kpw","Test incident","","10.289901896511381","123.87102127075194"
"incident","2013-01-26 16:26:22.318","2013-01-26 16:26:22.318","ronie","Parties involve to be verified
","","10.330372072564357","123.8921356201172"
"-","2013-01-26 16:26:57.34",,"ronie",,"responding unit CITOM 502",
"-","2013-01-26 16:51:06.125",,"ronie",,"neg upon arrival, responding unit puuled out",
"incident","2013-01-29 15:24:10.14","2013-01-29 15:24:10.14","ronie","PUJ vs PUJ..
attended by T/E Pena,
sketch picked up by Miner 4","","10.300141321176183","123.89807939529419"
"-","2013-01-29 15:28:06.716",,"ronie",,"data endorsed to investigation section",
"incident","2013-01-29 16:48:35.025","2013-01-29 16:48:35.025","sidney","taxi / pvt. sedan
attended by t/ e Marcial","","10.32619229531281","123.90722036361694"
"-","2013-01-29 17:02:41.869",,"sidney",,"sketch picked up by Miner 3",
"incident","2013-01-29 16:55:57.434","2013-01-29 16:55:57.434","sidney","motorcycle / pvt. sedan
responded by t/e Soco,
sketch picked up by Miner 3","","10.325854533108457","123.91977310180665"
"incident","2013-03-04 10:52:00.0","2013-03-06 10:45:00.0","jojo","PUJ driver shooting incident","","10.302347504193769","123.90201687812805"
"incident","2013-02-26 17:46:00.0","2013-02-26 17:53:00.0","erwin","10-50 involving motorcycle and taxi. responded by t/e cuyos f. sketch pick up by mobile c505","","10.31182652629333","123.90984892845152"
"incident","2013-02-26 17:53:00.0","2013-02-26 17:55:00.0","erwin","involving auto and motorcycle. responded by m6 t/e flores","","10.315436502016768","123.88549447059631"
"incident","2013-03-04 15:28:00.0","2013-03-05 17:31:00.0","jojo","","motorcycle vs truck","10.301745819447484","123.90166282653809"
"incident","2013-03-05 17:31:00.0","2013-03-04 17:15:00.0","erwin","involving toyota fortuner and taxi. responded by m7 t/e diez.","","10.294229941304827","123.90507459640503"
"incident","2013-03-04 13:42:00.0","2013-03-05 14:40:00.0","rafaelyap","1050 car vs motorcycle","pls take other routes","10.310232634952689","123.89299392700195"
"incident","2013-03-05 13:58:00.0","2013-03-05 14:41:00.0","rafaelyap","","collision at iglesia, taxi and motorcycle. take alternate routes","10.311288193034109","123.8987445831299"
"incident","2013-03-05 13:32:00.0","2013-03-05 14:41:00.0","rafaelyap","","road closure due to fiesta / accident / ","10.316143714634071","123.89097690582275"
"incident","2013-03-05 14:32:00.0","2013-03-05 14:42:00.0","rafaelyap","","demo collision with truck and automobile","10.28831845065811","123.89458179473876"
"incident","2013-03-07 07:54:00.0","2013-03-07 07:56:00.0","eric","traffic collision involve tracktor ","kjhg","10.310317079729396","123.89357328414916"
"incident","2013-03-07 12:04:00.0","2013-03-08 16:38:00.0","jojo","demo puj vs motorcycle","","10.32523178309315","123.91610383987425"
"incident","2013-03-05 15:03:00.0","2013-03-05 15:04:00.0","ronie","taxi vs. motorcycle","","10.31036985770334","123.89354109764098"
"incident","2013-03-13 12:20:00.0","2013-03-13 12:24:00.0","Alfredo","Traffic Collision on Mambaling Fly-over involving Both Motorcycles. DEMO","Please Take alternate routes","10.291358659679709","123.87773752212524"
"incident","2013-03-13 13:35:00.0","2013-03-13 13:36:00.0","ronie","Traffic Update: As of 4:03 PM, Collision at Magallanes / PB Com. Involving Pedestrian / MC.....DEMO...","","10.296161707986567","123.89837980270384"
"incident","2013-03-13 14:31:00.0","2013-03-13 14:34:00.0","ronie","","involved taxi and puj attended by T/E Debalucos","10.310010967306125","123.89450669288634"
"incident","2013-03-14 11:17:00.0","2013-03-14 11:28:00.0","Alfredo"," Collision at Capitol / Escario. Involving Taxi - PUJ."," Collision at Capitol / Escario. Involving Taxi - PUJ.","10.316386488748298","123.89122366905212"
"incident","2013-03-14 12:18:00.0","2013-03-14 12:49:00.0","Alfredo","Collision at Forest Hills / M. Duterte. Involving MC - Multicab reaponded by C-503","Collision at Forest Hills / M. Duterte. Involving MC - Multicab","10.31161541532096","123.87728691101074"
"incident","2013-03-14 15:47:00.0","2013-03-15 16:05:00.0","ronie","Collision between SUV and SUV.","","10.340937372755496","123.91240239143373"
"incident","2013-01-30 21:05:08.782","2013-01-30 21:05:08.782","ronie","Motorcycle vs. Motorcycle..","","10.306052590211355","123.91552448272705"
"-","2013-01-30 21:05:26.59",,"ronie",,"responding unit--  Car 505",
"-","2013-01-30 21:12:42.205",,"ronie",,"accident located by Car 505.",
"-","2013-01-30 21:37:35.004",,"ronie",,"data endorsed to investigation section.",
"incident","2013-01-30 16:33:09.996","2013-01-30 16:33:09.996","sidney","10-50 involving MC and TAXI near cecelia shellcraft. attended by t/e ugsang for sketch","","10.305060349223902","123.8866639137268"
"-","2013-01-30 16:50:26.058",,"sidney",,"sketch picked up by Miner 6..
data endorsed to investigation section..",
"incident","2013-03-15 06:53:00.0","2013-03-15 06:58:00.0","eric","involve puj and bike attended by T/E Sabucido,M.","","10.328503845660817","123.89736056327818"
"incident","2013-03-15 07:08:00.0","2013-03-15 07:28:00.0","eric","involved puj- mc attended by T/E Gako,M.","","10.296847851774665","123.8978862762451"
"incident","2013-01-30 19:30:04.546","2013-01-30 19:30:04.546","ronie","motorcycle vs. motorcycle..with slight injuries..attended by T/E Espina.","","10.328282190884648","123.8813853263855"
"-","2013-01-30 19:32:37.514",,"ronie",,"one of the parties has no driver's license..proceeding Sweeper unit with Miner 10 to pick up Motorcycle.",
"-","2013-01-30 19:51:36.847",,"ronie",,"data endorsed to investigation section., motorcycle unit safe kept at CITOM Base.",
"incident","2013-01-30 19:53:33.196","2013-01-30 19:53:33.196","ronie","Truck vs. Pick-up..","","10.289680214570158","123.89866948127747"
"-","2013-01-30 19:53:45.507",,"ronie",,"responded by Car 502.",
"-","2013-01-30 20:18:35.561",,"ronie",,"data endorsed to investigation section.",
"incident","2013-03-13 13:06:00.0","2013-03-13 13:25:00.0","ronie","Traffic collision between an Isuzu Elf and a Delivery Van.. ","Slight traffic congestion. ","10.29713286490937","123.8999032974243"
"incident","2013-03-13 14:29:00.0","2013-03-13 14:33:00.0","ronie","","involved pvt.car and puj","10.289711883428437","123.87093544006346"
"incident","2013-03-14 11:27:00.0","2013-03-14 11:45:00.0","Alfredo","Collision, Involving Taxi - PUJ","Collision, Involving Taxi - PUJ","10.309060961339616","123.90749931335449"
"incident","2013-03-14 11:51:00.0","2013-03-14 12:48:00.0","Alfredo","Collision at Holiday Spa. Involving MC - ISUZU.","Collision at Holiday Spa. Involving MC - ISUZU.","10.329812661153277","123.91027808189392"
"incident","2013-01-30 20:39:00.275","2013-01-30 20:39:00.275","ronie","PUJ vs. Motorcycle.","","10.306158147579334","123.91579270362854"
"-","2013-01-30 20:39:46.064",,"ronie",,"responded by Car-505.",
"-","2013-01-30 20:56:05.382",,"ronie",,"accident not located by responding unit..",
"-","2013-01-30 20:56:20.775",,"ronie",,"Car-505 pulling out..",
"incident","2013-03-16 16:21:00.0","2013-03-15 16:45:00.0","Alfredo","Collision MC /  Private Sedan.
","","10.309894855619483","123.91923666000365"
"incident","2013-03-16 16:33:00.0","2013-03-15 17:17:00.0","ronie","Collision between PUJ and Government Vehicles.","","10.347122288643911","123.89294028282164"
"-","2013-03-14 16:32:42.104",,"ronie",,"Responded by C504",
"incident","2013-03-15 07:24:00.0","2013-03-15 07:29:00.0","eric","puj - pedestrian proceeding T/E Vallespin,C.","","10.301418586910343","123.89616966247559"
"incident","2013-03-15 08:56:00.0","2013-03-15 09:00:00.0","kieth","Collision MC - Van.","","10.298346806857266","123.90857219696044"
"incident","2013-03-15 09:00:00.0","2013-03-15 09:04:00.0","kieth","Collision Multi Cab - Auto.","","10.309324852173274","123.90629768371582"
"incident","2013-03-14 11:50:00.0","2013-03-14 11:36:00.0","kpw","test","","10.353254311871945","123.8605499267578"
"incident","2013-01-29 16:57:55.235","2013-01-29 16:57:55.235","sidney","Pvt. SUV / PUJ
attended by T/E Williams","","10.309535964681027","123.89252185821533"
"-","2013-01-29 17:03:35.58",,"sidney",,"sketch picked up by Miner 4",
"incident","2013-01-29 16:51:12.72","2013-01-29 16:51:12.72","sidney","motorcycle / pedestrian
attended by T/E Limbaga and
Miner 10","","10.287896197088958","123.86342525482178"
"-","2013-01-29 16:52:03.187",,"sidney",,"with physical injury",
"-","2013-01-29 17:12:39.096",,"sidney",,"data endorsed to investigation section.",
"incident","2013-01-29 16:26:52.097","2013-01-29 16:26:52.097","ronie","motorcycle / sedan
responded by t/e Siarot","","10.314412624218356","123.89021515846252"
"-","2013-01-29 16:51:35.398",,"sidney",,"with physical injury",
"-","2013-01-29 17:19:03.621",,"sidney",,"motorcycle driven by T/E Ludovica,
1076 Base, sketch endorsed to investigation section.",
"incident","2013-01-29 17:21:24.42","2013-01-29 17:21:24.42","sidney","SUV / Sedan..,
responded by Car-501","","10.359249013862359","123.91561031341551"
"-","2013-01-29 18:13:17.16",,"sidney",,"sketch endorsed to investigation section.",
"incident","2013-01-29 18:15:02.069","2013-01-29 18:15:02.069","sidney","self-accident/ motorcycle
with physical injury.
responded by T/E Bontuyan.","","10.341327891526472","123.91196250915527"
"-","2013-01-29 18:24:18.523",,"sidney",,"no sketch, motorcycle driver pulled out after med treatment.",
"incident","2013-01-29 22:48:48.094","2013-01-29 22:48:48.094","napoleon","motorcycle / sedan,
attended by t/e williams.","","10.30987374439913","123.89445304870605"
"-","2013-01-29 22:49:27.176",,"napoleon",,"sketch endorsed to investigation section",
"incident","2013-01-30 14:44:52.806","2013-01-30 14:44:52.806","erwin","10-50 involving two motorcycle and chevy. attended by t/e navarro h. and villarin r for sketch","","10.320302514891543","123.90376567840575"
"-","2013-01-30 14:49:42.408",,"erwin",,"3 parties amicably settled",
"incident","2013-01-30 16:20:26.216","2013-01-30 16:20:26.216","sidney","pvt. sedan / taxi..,
sketch made by T/E Dela Cruz..,
sketch picked up by Miner 15.","","10.314222625910093","123.91468763351439"
"-","2013-01-30 16:20:51.621",,"sidney",,"data endorsed to investigation section.",
"incident","2013-01-30 15:20:49.636","2013-01-30 15:20:49.636","sidney","10-50.involving puj/auto.attended by t/e diez m/7","","10.297238425264247","123.90392661094664"
"-","2013-01-30 16:21:15.287",,"sidney",,"data endorsed to investigation section.",
"incident","2013-01-30 16:35:30.362","2013-01-30 16:35:30.362","sidney","10-50 involving toy. hi-lux and isuzu crosswind near sto. vill. attended by mobile car 501","","10.349475902093934","123.9133358001709"
"-","2013-01-30 16:45:55.928",,"sidney",,"both parties agreed to settle amicably.",
"incident","2013-01-30 19:00:45.317","2013-01-30 19:00:45.317","ronie","PUJ vs. Multicab..,
","","10.299719083431768","123.89683485031127"
"-","2013-01-30 19:07:28.64",,"ronie",,"responded by T/E Daclan.",
"-","2013-01-30 19:19:43.933",,"ronie",,"both parties agreed to settle amicably..",
"incident","2013-01-30 18:55:58.2","2013-01-30 18:55:58.2","ronie","truck vs. SUV..
responding unit - Car 505","","10.309303740914729","123.87595653533936"
"-","2013-01-30 19:20:58.361",,"ronie",,"data endorsed to investigation section..",
"incident","2013-03-16 16:42:00.0","2013-03-15 17:17:00.0","ronie","Collision between Motorcycles and a Automobile.","","10.313209299662853","123.91291737556456"
"incident","2013-03-16 16:47:00.0","2013-03-15 17:17:00.0","ronie","Collision between Motorcycles and a Taxi.","","10.314549845147466","123.91316413879393"
"incident","2013-01-30 21:43:55.562","2013-01-30 21:43:55.562","ronie","motorcycle vs. Pedestrian..
responding unit-- Miner 10","","10.287600619254476","123.8627815246582"
"-","2013-01-30 21:59:42.145",,"ronie",,"motorcycle unit picked up by Tango 26 piloted by T/E Bacatan.",
"-","2013-01-30 22:00:36.301",,"ronie",,"victim brought to Chong Hua Hospital.",
"-","2013-01-30 22:11:31.086",,"ronie",,"Car 505 proceeding hospital to gather data of the victim.",
"-","2013-01-30 22:13:45.607",,"ronie",,"all data endorsed to investigation section.",
"incident","2013-01-30 22:10:17.44","2013-01-30 22:10:17.44","ronie","motorcycle vs. Pick-up truck..
responding unit- Car 502","","10.301640260601653","123.87059211730957"
"-","2013-01-30 22:58:16.084",,"ronie",,"data endorsed to investigation section.",
"incident","2013-01-31 07:36:45.08","2013-01-31 07:36:45.08","eric","involved pvt vs. multicab","","10.295106099244025","123.89189958572388"
"-","2013-01-31 07:42:58.564",,"eric",,"1050 settled info t/e aguhar",
"incident","2013-01-31 08:32:43.111","2013-01-31 08:32:43.111","eric","involved mc vs. pedestrian","","10.290408597506566","123.87411117553711"
"incident","2013-01-31 07:39:37.34","2013-01-31 07:39:37.34","eric","1050 both mc","","10.331058141803634","123.89865875244139"
"incident","2013-01-31 08:36:42.179","2013-01-31 08:36:42.179","eric","involved puj vs. taxi","","10.308068729826681","123.88920664787292"
"incident","2013-01-31 09:07:45.682","2013-01-31 09:07:45.682","eric","ceres bus vs bike  with physical injury","","10.297280649396308","123.88838052749632"
"incident","2013-01-31 09:48:50.458","2013-01-31 09:48:50.458","eric","involved mc vs. truck","","10.309050405701674","123.91912937164308"
"incident","2013-01-31 10:05:45.087","2013-01-31 10:05:45.087","eric","mc vs pvt. car proceeding t/e navarez","","10.298990721993645","123.8951826095581"
"-","2013-01-31 10:10:54.299",,"eric",,"negative upon arrival of responding personel",
"incident","2013-01-31 15:18:27.652","2013-01-31 15:18:27.652","jennifer","truck vs. puj..
responding unit-- Miner 10","","10.308184842186469","123.8894748687744"
"incident","2013-01-31 16:03:34.593","2013-01-31 16:03:34.593","jennifer","puj vs puj near anitas bakeshop. responded by t/e williams and M20 t/e torillo.","","10.311414859766117","123.89275789260864"
"-","2013-01-31 16:14:42.478",,"jennifer",,"both parties agreed settle amicably. both parties pull out",
"incident","2013-01-31 15:46:36.53","2013-01-31 15:46:36.53","jennifer","isuzu vitara vs L-300.. respond t/e coronado","","10.331132026093936","123.89805793762208"
"-","2013-01-31 15:59:00.397",,"jennifer",,"proceeding Miner 9 to pick up sketch.",
"incident","2013-01-31 16:30:54.037","2013-01-31 16:30:54.037","erwin","puj vs puj. responded by mobile car 505.","","10.313568186415065","123.89202833175659"
"-","2013-01-31 16:45:41.523",,"erwin",,"sketch process by t/e ragasajo and t/e siarot.",
"incident","2013-01-31 16:28:37.331","2013-01-31 16:28:37.331","erwin","both private veh. responded by mobile car 501.","","10.36260515259431","123.89490365982054"
"incident","2013-01-31 16:53:14.368","2013-01-31 16:53:14.368","erwin","both private veh. reponded by t/e villarin.","","10.320281404369117","123.90376567840575"
"-","2013-01-31 17:00:07.774",,"erwin",,"sketch pick up by m15 t/e plaza",
"incident","2013-01-31 17:06:37.64","2013-01-31 17:06:37.64","erwin","both private veh. responded by mobile car 505.","","10.30987374439913","123.89154553413391"
"-","2013-01-31 18:18:06.646",,"erwin",,"data endorsed to investigation section.",
"incident","2013-01-31 18:24:09.743","2013-01-31 18:24:09.743","erwin","SUV vs. SUV
","","10.321146934626828","123.9104926586151"
"-","2013-01-31 18:25:50.273",,"erwin",,"attended by T/E Otero",
"-","2013-01-31 18:37:01.602",,"erwin",,"both parties agreed to settle amicably.",
"incident","2013-01-31 18:20:22.202","2013-01-31 18:20:22.202","erwin","taxi vs. PUJ
attended by T/E Pacifico","","10.300056873672533","123.86956214904784"
"-","2013-01-31 18:51:04.984",,"erwin",,"sketch pick up by m10 t/e cabaluna",
"incident","2013-01-31 18:53:13.408","2013-01-31 18:53:13.408","erwin","chevy vs multicab. responded by t/e marikit.","","10.32002807798962","123.90440940856932"
"-","2013-01-31 20:35:54.211",,"ronie",,"sketch picked up by Miner 22.
data endorsed to investigation section.",
"incident","2013-01-31 20:43:52.52","2013-01-31 20:43:52.52","ronie","Pvt. sedan vs. Taxi..responded by T/E Tejamo..","","10.327986650940012","123.90428066253662"
"-","2013-01-31 21:09:01.588",,"ronie",,"sketch and data picked up by Miner 9 and endorsed to investigation section.",
"incident","2013-01-31 21:11:48.378","2013-01-31 21:11:48.378","ronie","motorcycle vs. Pedestrian.
responded by Miner 18.","","10.297998458776393","123.89155626296997"
"-","2013-01-31 21:12:29.156",,"ronie",,"victim brought to Cebu City Medical Center...
data endorsed to investigation section..",
"incident","2013-01-31 22:47:41.096","2013-01-31 22:47:41.096","erwin","disabled veh. trailer causing traffic. . blocking two lanes along duterte st. responded by mobile c502","","10.309768188276134","123.87610673904419"
"incident","2013-02-01 07:16:46.827","2013-02-01 07:16:46.827","eric","involved taxi vs motor","","10.33898477161578","123.91155481338502"
"incident","2013-02-01 07:27:29.643","2013-02-01 07:27:29.643","eric","pvt. car vs. mc responded by t/e reyes, e.","","10.316745371878506","123.89216780662535"
"incident","2013-02-01 07:22:59.98","2013-02-01 07:22:59.98","eric","mc vs. pedestrian  responded by t/e neri","","10.322054683314565","123.88402462005614"
"incident","2013-02-01 07:24:20.12","2013-02-01 07:24:20.12","eric","mc vs. pedestrian responded by t/e alicaba","","10.310739303273284","123.88635277748108"
"incident","2013-02-04 17:06:40.252","2013-02-04 17:06:40.252","erwin","involving isuzu crosswind and sedan. sketch by t/e borres. sketch pick up by mobile car 501","","10.380461738832262","123.92067432403564"
"incident","2013-02-04 16:59:55.821","2013-02-04 16:59:55.821","erwin","involving pedestrian and motorcycle. responded by t/e quijano.","","10.309145406430435","123.89177083969115"
"incident","2013-02-01 07:45:21.239","2013-02-01 07:45:21.239","eric","mc vs. honda civic responded by t/e soco","","10.326255625685734","123.92005205154418"
"incident","2013-02-01 07:56:32.744","2013-02-01 07:56:32.744","eric","puj vs. puj proceeding m-21","","10.294778859816518","123.889399766922"
"incident","2013-02-01 07:51:12.028","2013-02-01 07:51:12.028","eric","ford vs. honda crv responded by t/e arellano","","10.328229415914915","123.9087760448456"
"incident","2013-02-01 17:24:51.771","2013-02-01 17:24:51.771","erwin","10-50 involving SUV vs PUJ respoded by t/e Tugao M.N. 
sketch pick up by M6 t/e flores F.","","10.295707796660228","123.88346672058104"
"incident","2013-02-01 17:38:29.056","2013-02-01 17:38:29.056","erwin","10-50 involving auto vs taxi responded by t/e labiste. sketch pick up by m22 t/e montesclaros","","10.30892373801873","123.91921520233154"
"-","2013-02-01 17:50:44.811",,"erwin",,"sketch pick up by mobile car 505 instead of m22.",
"incident","2013-02-02 18:18:42.008","2013-02-02 18:18:42.008","ronie","PUJ vs. Pvt. Vehicle..
responding unit-- Car 502.","","10.30682315818438","123.88662099838257"
"-","2013-02-02 18:28:24.002",,"ronie",,"data endorsed to investigation section..",
"incident","2013-02-02 18:39:05.271","2013-02-02 18:39:05.271","ronie","Pvt. Vehicle vs. Pedestrian.","","10.315320392330745","123.91631841659546"
"-","2013-02-02 18:41:14.81",,"ronie",,"responding unit-- Miner 9 (motorized enforcer).",
"-","2013-02-02 18:56:32.374",,"ronie",,"assisted by Car 504.",
"-","2013-02-02 19:12:22.485",,"ronie",,"data endorsed to investigation section..",
"incident","2013-02-04 16:47:20.818","2013-02-04 16:47:20.818","erwin","involving motorcycle and sedan. responded by m20 t/e Torillo. ","","10.300436887260805","123.89850854873657"
"-","2013-02-04 16:49:34.94",,"erwin",,"skeych by t/e pongcardas. sketch endorsed by m20.",
"incident","2013-02-04 18:12:51.86","2013-02-04 18:12:51.86","erwin","involving motorcycle and taxi. responded by t/e Semblante","","10.369254000521375","123.9169406890869"
"-","2013-02-04 19:25:03.621",,"erwin",,"sketch pick up by M22 t/e Montesclaros",
"incident","2013-02-04 19:12:58.69","2013-02-04 19:12:58.69","erwin","involving both sedan. responded by mobile car 502. ","","10.314782065045089","123.89416337013245"
"incident","2013-02-04 21:45:35.584","2013-02-04 21:45:35.584","jennifer","pajero vs pick-up. sketch made by t/e mordeno","","10.329147699124345","123.90243530273436"
"incident","2013-02-04 22:03:48.966","2013-02-04 22:03:48.966","jennifer","tucson vs taxi at A. soriano / sm. 1076 mobile car 502","","10.31307207814949","123.91718745231627"
"incident","2013-02-05 07:46:10.508","2013-02-05 07:46:10.508","totchie","at Gov. Cuenco/Samanthabadra involving automobile and a taxi attended by Traffic Enforcer Junie Arellano","","10.327100029439293","123.90825033187868"
"incident","2013-02-05 08:26:13.789","2013-02-05 08:26:13.789","totchie","1050 at v.rama/papas
parties involve motorcycle and taxi attended by T/E morales  ","","10.297924566709764","123.8879942893982"
